qseqid	sseqid	pident	length	evalue	bitscore
sp|P29084|T2EB_HUMAN	sp|P36145|T2EB_YEAST	30.247	162	6.56e-09	53.9
sp|P29120|NEC1_HUMAN	sp|P13134|KEX2_YEAST	41.004	478	5.48e-116	367.0
sp|P29218|IMPA1_HUMAN	sp|Q05533|INM2_YEAST	40.87	230	6.1000000000000004e-49	162.0
sp|P29401|TKT_HUMAN	sp|P23254|TKT1_YEAST	26.796	668	1.5499999999999999e-46	172.0
sp|P29803|ODPAT_HUMAN	sp|P16387|ODPA_YEAST	50.416	361	2.96e-129	376.0
sp|P29972|AQP1_HUMAN	sp|P0CD91|AQY1_YEAST	34.066	182	4.6199999999999997e-23	94.0
sp|P30038|AL4A1_HUMAN	sp|P07275|PUT2_YEAST	41.391	575	3.09e-146	431.0
sp|P30039|PBLD_HUMAN	sp|P38765|YHI9_YEAST	27.632	304	1.35e-16	76.3
sp|P30041|PRDX6_HUMAN	sp|P34227|PRX1_YEAST	48.402	219	2.5200000000000002e-64	198.0
sp|P30044|PRDX5_HUMAN	sp|P38013|AHP1_YEAST	29.71	138	1.37e-12	61.6
sp|P30049|ATPD_HUMAN	sp|Q12165|ATPD_YEAST	34.351	131	5.95e-16	69.3
sp|P30050|RL12_HUMAN	sp|P0CX54|RL12B_YEAST	71.166	163	1.23e-86	249.0
sp|P30085|KCY_HUMAN	sp|P15700|KCY_YEAST	50.543	184	6.83e-63	191.0
sp|P30086|PEBP1_HUMAN	sp|P14306|CPYI_YEAST	28.378	148	6.1e-13	62.8
sp|P30153|2AAA_HUMAN	sp|P31383|2AAA_YEAST	44.0	600	1.0799999999999999e-165	484.0
sp|P30260|CDC27_HUMAN	sp|P38042|CDC27_YEAST	40.803	299	1.02e-67	237.0
sp|P30307|MPIP3_HUMAN	sp|P23748|MPIP_YEAST	38.202	178	1.96e-28	116.0
sp|P30405|PPIF_HUMAN	sp|P14832|CYPH_YEAST	70.44	159	6.89e-81	236.0
sp|P30419|NMT1_HUMAN	sp|P14743|NMT_YEAST	44.11	399	3.1699999999999997e-112	338.0
sp|P30566|PUR8_HUMAN	sp|Q05911|PUR8_YEAST	64.255	470	0.0	629.0
sp|P30613|KPYR_HUMAN	sp|P52489|KPYK2_YEAST	49.804	510	8.28e-169	487.0
sp|P30622|CLIP1_HUMAN	sp|P33420|NIP80_YEAST	50.0	72	4.48e-15	78.6
sp|P30793|GCH1_HUMAN	sp|P51601|GCH1_YEAST	57.534	219	4.9600000000000004e-85	251.0
sp|P30825|CTR1_HUMAN	sp|P32837|UGA4_YEAST	22.911	371	5.3e-10	60.1
sp|P30837|AL1B1_HUMAN	sp|P46367|ALDH4_YEAST	50.398	502	3.6799999999999996e-176	504.0
sp|P30838|AL3A1_HUMAN	sp|Q04458|HFD1_YEAST	34.316	475	5.6300000000000006e-77	247.0
sp|P30876|RPB2_HUMAN	sp|P08518|RPB2_YEAST	58.088	1224	0.0	1449.0
sp|P31040|SDHA_HUMAN	sp|Q00711|SDHA_YEAST	63.746	662	0.0	848.0
sp|P31150|GDIA_HUMAN	sp|P39958|GDI1_YEAST	55.427	433	3.3899999999999997e-180	509.0
sp|P31350|RIR2_HUMAN	sp|P09938|RIR2_YEAST	68.712	326	8.57e-168	473.0
sp|P31939|PUR9_HUMAN	sp|P38009|PUR92_YEAST	61.525	590	0.0	746.0
sp|P31948|STIP1_HUMAN	sp|P15705|STI1_YEAST	39.003	582	8.48e-127	381.0
sp|P32119|PRDX2_HUMAN	sp|P34760|TSA1_YEAST	66.839	193	5.13e-93	268.0
sp|P32320|CDD_HUMAN	sp|Q06549|CDD_YEAST	43.22	118	6.18e-29	101.0
sp|P32321|DCTD_HUMAN	sp|P06773|DCTD_YEAST	33.108	148	2.61e-14	67.4
sp|P32322|P5CR1_HUMAN	sp|P32263|P5CR_YEAST	35.122	205	2.7500000000000002e-31	117.0
sp|P32780|TF2H1_HUMAN	sp|P32776|TFB1_YEAST	33.588	131	4.43e-15	76.3
sp|P32929|CGL_HUMAN	sp|P31373|CYS3_YEAST	51.68	387	7.22e-133	385.0
sp|P32969|RL9_HUMAN	sp|P51401|RL9B_YEAST	50.265	189	2.78e-59	182.0
sp|P33121|ACSL1_HUMAN	sp|P39518|LCF2_YEAST	34.039	661	8.45e-100	321.0
sp|P33240|CSTF2_HUMAN	sp|P25299|RNA15_YEAST	47.297	74	1.63e-19	87.4
sp|P33316|DUT_HUMAN	sp|P33317|DUT_YEAST	55.319	141	2.6899999999999998e-48	154.0
sp|P33527|MRP1_HUMAN	sp|P39109|YCFI_YEAST	41.565	1470	0.0	1088.0
sp|P33552|CKS2_HUMAN	sp|P20486|CKS1_YEAST	52.564	78	6.72e-25	88.6
sp|P33981|TTK_HUMAN	sp|P54199|MPS1_YEAST	38.047	297	8.76e-59	213.0
sp|P33991|MCM4_HUMAN	sp|P30665|MCM4_YEAST	47.397	749	0.0	681.0
sp|P33992|MCM5_HUMAN	sp|P29496|MCM5_YEAST	46.607	781	0.0	660.0
sp|P33993|MCM7_HUMAN	sp|P38132|MCM7_YEAST	45.914	771	0.0	625.0
sp|P34897|GLYM_HUMAN	sp|P37291|GLYC_YEAST	55.727	454	0.0	548.0
sp|P34932|HSP74_HUMAN	sp|P32590|HSP79_YEAST	38.35	691	2.28e-151	458.0
sp|P34949|MPI_HUMAN	sp|P29952|MPI_YEAST	39.627	429	7.24e-97	295.0
sp|P35232|PHB1_HUMAN	sp|P40961|PHB1_YEAST	54.406	261	5.29e-108	312.0
sp|P35249|RFC4_HUMAN	sp|P40348|RFC2_YEAST	53.211	327	8.649999999999999e-119	346.0
sp|P35250|RFC2_HUMAN	sp|P40339|RFC4_YEAST	61.218	312	8.59e-144	408.0
sp|P35251|RFC1_HUMAN	sp|P38630|RFC1_YEAST	35.657	746	5.2400000000000005e-132	421.0
sp|P35520|CBS_HUMAN	sp|P32582|CBS_YEAST	46.667	435	1.6400000000000002e-129	386.0
sp|P35573|GDE_HUMAN	sp|Q06625|GDE_YEAST	38.554	1577	0.0	949.0
sp|P35580|MYH10_HUMAN	sp|P08964|MYO1_YEAST	39.64	1168	0.0	760.0
sp|P35606|COPB2_HUMAN	sp|P41811|COPB2_YEAST	47.296	795	0.0	790.0
sp|P35670|ATP7B_HUMAN	sp|P38995|ATU2_YEAST	32.703	1058	3.81e-159	505.0
sp|P35998|PRS7_HUMAN	sp|P33299|PRS7_YEAST	71.946	442	0.0	663.0
sp|P36507|MP2K2_HUMAN	sp|P08018|PBS2_YEAST	41.59	327	3.67e-80	257.0
sp|P36542|ATPG_HUMAN	sp|P38077|ATPG_YEAST	39.298	285	1.63e-61	196.0
sp|P36543|VATE1_HUMAN	sp|P22203|VATE_YEAST	33.755	237	2.28e-38	131.0
sp|P36551|HEM6_HUMAN	sp|P11353|HEM6_YEAST	52.978	319	5.8800000000000004e-117	343.0
sp|P36578|RL4_HUMAN	sp|P10664|RL4A_YEAST	60.417	336	8.029999999999999e-131	379.0
sp|P36776|LONM_HUMAN	sp|P36775|LONM_YEAST	43.579	950	0.0	780.0
sp|P36871|PGM1_HUMAN	sp|P37012|PGM2_YEAST	50.697	574	0.0	562.0
sp|P36873|PP1G_HUMAN	sp|P32598|PP12_YEAST	85.762	302	0.0	554.0
sp|P36954|RPB9_HUMAN	sp|P27999|RPB9_YEAST	45.045	111	1.4200000000000002e-32	109.0
sp|P36957|ODO2_HUMAN	sp|P19262|ODO2_YEAST	45.794	428	1.19e-118	353.0
sp|P36969|GPX4_HUMAN	sp|P38143|GPX2_YEAST	41.772	158	1.58e-39	130.0
sp|P37198|NUP62_HUMAN	sp|P14907|NSP1_YEAST	29.787	188	1.64e-26	112.0
sp|P37268|FDFT_HUMAN	sp|P29704|ERG9_YEAST	48.235	340	1.1000000000000001e-103	312.0
sp|P37287|PIGA_HUMAN	sp|P32363|GPI3_YEAST	45.266	433	1.04e-131	387.0
sp|P37802|TAGL2_HUMAN	sp|Q08873|SCP1_YEAST	33.696	184	4.4899999999999997e-23	89.7
sp|P37837|TALDO_HUMAN	sp|P53228|TAL2_YEAST	56.587	334	3.58e-130	373.0
sp|P38117|ETFB_HUMAN	sp|P42940|ETFB_YEAST	46.36	261	1.59e-73	223.0
sp|P38571|LICH_HUMAN	sp|P34163|TGL1_YEAST	33.245	379	3.99e-51	177.0
sp|P38606|VATA_HUMAN	sp|P17255|VATA_YEAST	59.78	363	2.13e-144	444.0
sp|P38646|HSPA9_HUMAN	sp|P0CS90|HSP77_YEAST	65.773	634	0.0	869.0
sp|P38919|IF4A3_HUMAN	sp|Q12099|FAL1_YEAST	61.772	395	0.0	525.0
sp|P38935|SMBP2_HUMAN	sp|P34243|HCS1_YEAST	35.725	683	8.48e-119	377.0
sp|P39019|RS19_HUMAN	sp|P07280|RS19A_YEAST	52.174	138	5.09e-47	147.0
sp|P39023|RL3_HUMAN	sp|P14126|RL3_YEAST	66.667	396	0.0	511.0
sp|P39210|MPV17_HUMAN	sp|Q06563|SYM1_YEAST	29.73	185	2.9e-22	86.7
sp|P39656|OST48_HUMAN	sp|P33767|OSTB_YEAST	24.249	433	1.1599999999999999e-30	120.0
sp|P39748|FEN1_HUMAN	sp|P26793|FEN1_YEAST	60.623	353	1.08e-152	434.0
sp|P40123|CAP2_HUMAN	sp|P17555|CAP_YEAST	35.088	513	5.14e-79	253.0
sp|P40227|TCPZ_HUMAN	sp|P39079|TCPZ_YEAST	56.747	541	0.0	607.0
sp|P40429|RL13A_HUMAN	sp|P26784|RL16A_YEAST	61.932	176	4.76e-78	230.0
sp|P40616|ARL1_HUMAN	sp|P38116|ARL1_YEAST	63.736	182	1.8600000000000001e-85	247.0
sp|P40692|MLH1_HUMAN	sp|P38920|MLH1_YEAST	36.683	796	5.650000000000001e-164	491.0
sp|P40818|UBP8_HUMAN	sp|P32571|UBP4_YEAST	35.813	363	2.59e-55	206.0
sp|P40926|MDHM_HUMAN	sp|P17505|MDHM_YEAST	53.636	330	7.51e-105	308.0
sp|P40937|RFC5_HUMAN	sp|P38629|RFC3_YEAST	49.704	338	3.8099999999999997e-119	345.0
sp|P40938|RFC3_HUMAN	sp|P38251|RFC5_YEAST	44.0	350	1.33e-99	296.0
sp|P41091|IF2G_HUMAN	sp|P32481|IF2G_YEAST	73.874	444	0.0	689.0
sp|P41214|EIF2D_HUMAN	sp|Q04600|TMA64_YEAST	25.65	577	1.09e-31	127.0
sp|P41223|BUD31_HUMAN	sp|P25337|BUD31_YEAST	50.323	155	5.71e-53	162.0
sp|P41227|NAA10_HUMAN	sp|P07347|ARD1_YEAST	47.917	192	4.78e-53	169.0
sp|P41250|GARS_HUMAN	sp|P38088|SYG_YEAST	46.708	653	0.0	615.0
sp|P41252|SYIC_HUMAN	sp|P09436|SYIC_YEAST	54.21	1057	0.0	1207.0
sp|P41567|EIF1_HUMAN	sp|P32911|SUI1_YEAST	58.929	112	8.709999999999999e-45	139.0
sp|P42285|MTREX_HUMAN	sp|P47047|MTR4_YEAST	55.556	954	0.0	1084.0
sp|P42345|MTOR_HUMAN	sp|P32600|TOR2_YEAST	43.49	2235	0.0	1713.0
sp|P42356|PI4KA_HUMAN	sp|P37297|STT4_YEAST	40.764	628	9.87e-139	477.0
sp|P42566|EPS15_HUMAN	sp|P34216|EDE1_YEAST	28.324	346	1.3e-35	144.0
sp|P42677|RS27_HUMAN	sp|P35997|RS27A_YEAST	70.732	82	5.59e-40	125.0
sp|P42696|RBM34_HUMAN	sp|Q08208|NOP12_YEAST	35.433	254	7.29e-33	127.0
sp|P42766|RL35_HUMAN	sp|P0CX85|RL35B_YEAST	56.098	123	1.8e-37	121.0
sp|P42768|WASP_HUMAN	sp|Q12446|LAS17_YEAST	33.645	107	4.13e-15	75.9
sp|P42898|MTHR_HUMAN	sp|P53128|MTHR2_YEAST	41.903	599	1.54e-156	462.0
sp|P43034|LIS1_HUMAN	sp|P39946|LIS1_YEAST	27.292	469	1.31e-39	145.0
sp|P43155|CACP_HUMAN	sp|P32796|CACP_YEAST	31.536	612	2.68e-87	283.0
sp|P43246|MSH2_HUMAN	sp|P25847|MSH2_YEAST	41.379	928	0.0	698.0
sp|P43304|GPDM_HUMAN	sp|P32191|GPDM_YEAST	43.947	603	1.02e-152	456.0
sp|P43351|RAD52_HUMAN	sp|P06778|RAD52_YEAST	53.571	140	3.97e-50	174.0
sp|P43487|RANG_HUMAN	sp|P41920|YRB1_YEAST	53.896	154	2.58e-49	157.0
sp|P43686|PRS6B_HUMAN	sp|P33298|PRS6B_YEAST	66.359	434	0.0	577.0
sp|P43694|GATA4_HUMAN	sp|P43574|GAT1_YEAST	45.122	82	3.23e-18	84.7
sp|P45974|UBP5_HUMAN	sp|P38237|UBP14_YEAST	28.475	892	2.35e-81	276.0
sp|P46060|RAGP1_HUMAN	sp|P11745|RNA1_YEAST	30.982	326	2.81e-35	135.0
sp|P46087|NOP2_HUMAN	sp|P40991|NOP2_YEAST	62.254	355	1.6100000000000001e-167	496.0
sp|P46199|IF2M_HUMAN	sp|P25038|IF2M_YEAST	37.324	568	8.559999999999999e-119	369.0
sp|P46459|NSF_HUMAN	sp|P18759|SEC18_YEAST	46.409	724	0.0	653.0
sp|P46776|RL27A_HUMAN	sp|P02406|RL28_YEAST	61.745	149	3.99e-63	188.0
sp|P46777|RL5_HUMAN	sp|P26321|RL5_YEAST	51.439	278	2.78e-99	291.0
sp|P46778|RL21_HUMAN	sp|Q02753|RL21A_YEAST	59.873	157	4.2799999999999996e-67	199.0
sp|P46781|RS9_HUMAN	sp|O13516|RS9A_YEAST	72.159	176	1.9799999999999998e-94	271.0
sp|P46782|RS5_HUMAN	sp|P26783|RS5_YEAST	67.143	210	2.08e-100	288.0
sp|P46783|RS10_HUMAN	sp|Q08745|RS10A_YEAST	54.286	105	3.11e-36	119.0
sp|P46952|3HAO_HUMAN	sp|P47096|3HAO_YEAST	41.667	156	6.47e-37	127.0
sp|P47755|CAZA2_HUMAN	sp|P28495|CAPZA_YEAST	31.599	269	1.58e-35	126.0
sp|P47756|CAPZB_HUMAN	sp|P13517|CAPZB_YEAST	49.237	262	2.58e-80	242.0
sp|P47813|IF1AX_HUMAN	sp|P38912|IF1A_YEAST	65.517	116	4.77e-53	162.0
sp|P47897|SYQ_HUMAN	sp|P13188|SYQ_YEAST	38.48	829	2.89e-177	527.0
sp|P47914|RL29_HUMAN	sp|P05747|RL29_YEAST	73.913	46	2.39e-18	72.4
sp|P47985|UCRI_HUMAN	sp|P08067|UCRI_YEAST	55.376	186	2.62e-77	232.0
sp|P48047|ATPO_HUMAN	sp|P09457|ATPO_YEAST	35.484	186	1.7199999999999999e-34	120.0
sp|P48163|MAOX_HUMAN	sp|P36013|MAOM_YEAST	38.739	555	4e-118	362.0
sp|P48378|RFX2_HUMAN	sp|P48743|RFX1_YEAST	37.5	104	9.02e-16	79.3
sp|P48444|COPD_HUMAN	sp|P43621|COPD_YEAST	32.411	506	4.16e-73	239.0
sp|P48449|LSS_HUMAN	sp|P38604|ERG7_YEAST	41.081	740	0.0	543.0
sp|P48506|GSH1_HUMAN	sp|P32477|GSH1_YEAST	42.152	669	3.4700000000000005e-166	489.0
sp|P48556|PSMD8_HUMAN	sp|P32496|RPN12_YEAST	32.937	252	3.31e-25	100.0
sp|P48637|GSHB_HUMAN	sp|Q08220|GSHB_YEAST	35.744	484	1.46e-81	259.0
sp|P48643|TCPE_HUMAN	sp|P40413|TCPE_YEAST	59.707	546	0.0	693.0
sp|P48728|GCST_HUMAN	sp|P48015|GCST_YEAST	41.86	387	4.9200000000000004e-88	270.0
sp|P48735|IDHP_HUMAN	sp|P41939|IDHC_YEAST	63.882	407	0.0	545.0
sp|P49005|DPOD2_HUMAN	sp|P46957|DPOD2_YEAST	29.459	499	7.58e-66	218.0
sp|P49207|RL34_HUMAN	sp|P40525|RL34B_YEAST	54.545	110	4.41e-34	112.0
sp|P49247|RPIA_HUMAN	sp|Q12189|RPIA_YEAST	45.833	240	3.42e-66	206.0
sp|P49279|NRAM1_HUMAN	sp|P38925|SMF1_YEAST	28.423	482	7.82e-53	187.0
sp|P49336|CDK8_HUMAN	sp|P39073|SSN3_YEAST	45.427	328	6.84e-81	259.0
sp|P49354|FNTA_HUMAN	sp|P29703|FNTA_YEAST	30.493	223	2.33e-37	135.0
sp|P49356|FNTB_HUMAN	sp|P22007|FNTB_YEAST	39.589	389	3.7900000000000004e-73	234.0
sp|P49366|DHYS_HUMAN	sp|P38791|DHYS_YEAST	57.967	364	5.97e-149	424.0
sp|P49368|TCPG_HUMAN	sp|P39077|TCPG_YEAST	59.699	531	0.0	667.0
sp|P49411|EFTU_HUMAN	sp|P02992|EFTU_YEAST	62.025	395	0.0	516.0
sp|P49427|UB2R1_HUMAN	sp|P14682|UBC3_YEAST	34.199	231	4.790000000000001e-43	145.0
sp|P49448|DHE4_HUMAN	sp|P39708|DHE5_YEAST	27.225	382	1.78e-28	116.0
sp|P49459|UBE2A_HUMAN	sp|P06104|UBC2_YEAST	69.799	149	5.3e-80	232.0
sp|P49588|SYAC_HUMAN	sp|P40825|SYA_YEAST	51.509	928	0.0	936.0
sp|P49589|SYCC_HUMAN	sp|P53852|SYC_YEAST	44.636	755	0.0	607.0
sp|P49591|SYSC_HUMAN	sp|P07284|SYSC_YEAST	47.035	489	6.83e-140	409.0
sp|P49642|PRI1_HUMAN	sp|P10363|PRI1_YEAST	31.45	407	3.85e-78	246.0
sp|P49643|PRI2_HUMAN	sp|P20457|PRI2_YEAST	36.166	459	3.35e-89	281.0
sp|P49674|KC1E_HUMAN	sp|P29295|HRR25_YEAST	65.772	298	8.48e-153	439.0
sp|P49720|PSB3_HUMAN	sp|P25451|PSB3_YEAST	54.726	201	2.19e-81	239.0
sp|P49721|PSB2_HUMAN	sp|P22141|PSB4_YEAST	44.845	194	3.19e-61	187.0
sp|P49736|MCM2_HUMAN	sp|P29469|MCM2_YEAST	48.032	864	0.0	775.0
sp|P49754|VPS41_HUMAN	sp|P38959|VPS41_YEAST	24.499	898	1.05e-63	229.0
sp|P49755|TMEDA_HUMAN	sp|P54837|TMEDA_YEAST	38.571	210	9.67e-40	134.0
sp|P49759|CLK1_HUMAN	sp|P32350|KNS1_YEAST	43.525	278	3.02e-78	257.0
sp|P49770|EI2BB_HUMAN	sp|P32502|EI2BB_YEAST	32.153	367	9.73e-52	174.0
sp|P49773|HINT1_HUMAN	sp|Q04344|HNT1_YEAST	36.275	102	5.31e-13	60.1
sp|P49789|FHIT_HUMAN	sp|P49775|HNT2_YEAST	38.843	121	3.12e-25	93.6
sp|P49841|GSK3B_HUMAN	sp|P38615|RIM11_YEAST	53.293	334	1.19e-129	376.0
sp|P49848|TAF6_HUMAN	sp|P53040|TAF6_YEAST	31.429	420	5.5e-61	210.0
sp|P49914|MTHFS_HUMAN	sp|P40099|FTHC_YEAST	29.048	210	1.61e-23	91.3
sp|P49915|GUAA_HUMAN	sp|P38625|GUAA_YEAST	36.234	563	4.72e-96	304.0
sp|P49917|DNLI4_HUMAN	sp|Q08387|DNLI4_YEAST	26.183	951	2.68e-80	278.0
sp|P49959|MRE11_HUMAN	sp|P32829|MRE11_YEAST	41.252	543	2.69e-131	402.0
sp|P50213|IDH3A_HUMAN	sp|P28241|IDH2_YEAST	55.49	337	4.77e-123	357.0
sp|P50336|PPOX_HUMAN	sp|P40012|PPOX_YEAST	24.0	525	5.5e-25	105.0
sp|P50542|PEX5_HUMAN	sp|P35056|PEX5_YEAST	34.653	303	1.8e-54	194.0
sp|P50579|MAP2_HUMAN	sp|P38174|MAP2_YEAST	58.356	365	9.85e-145	419.0
sp|P50613|CDK7_HUMAN	sp|P06242|KIN28_YEAST	48.299	294	8.5e-98	290.0
sp|P50747|BPL1_HUMAN	sp|P48445|BPL1_YEAST	29.047	451	4.74e-44	167.0
sp|P50914|RL14_HUMAN	sp|P36105|RL14A_YEAST	44.8	125	4.570000000000001e-31	109.0
sp|P50990|TCPQ_HUMAN	sp|P47079|TCPQ_YEAST	45.694	569	9.94e-171	493.0
sp|P50991|TCPD_HUMAN	sp|P39078|TCPD_YEAST	59.579	522	0.0	622.0
sp|P51149|RAB7A_HUMAN	sp|P32939|YPT7_YEAST	61.321	212	7.6e-88	255.0
sp|P51530|DNA2_HUMAN	sp|P38859|DNA2_YEAST	33.205	1042	2.02e-136	446.0
sp|P51532|SMCA4_HUMAN	sp|P22082|SNF2_YEAST	51.798	751	0.0	748.0
sp|P51553|IDH3G_HUMAN	sp|P28834|IDH1_YEAST	49.419	344	1.35e-118	347.0
sp|P51572|BAP31_HUMAN	sp|Q07451|YET3_YEAST	28.0	225	5.31e-14	66.6
sp|P51649|SSDH_HUMAN	sp|P38067|SSDH_YEAST	48.333	480	2.44e-161	466.0
sp|P51659|DHB4_HUMAN	sp|Q02207|FOX2_YEAST	37.355	605	1.37e-114	365.0
sp|P51665|PSMD7_HUMAN	sp|Q08723|RPN8_YEAST	47.447	333	1.4e-103	305.0
sp|P51793|CLCN4_HUMAN	sp|P37020|GEF1_YEAST	32.365	757	6.29e-108	345.0
sp|P51946|CCNH_HUMAN	sp|P37366|CCL1_YEAST	26.479	355	1.55e-28	111.0
sp|P51948|MAT1_HUMAN	sp|Q03290|TFB3_YEAST	29.524	315	9.150000000000001e-37	132.0
sp|P51955|NEK2_HUMAN	sp|P22209|KIN3_YEAST	35.61	410	5.589999999999999e-68	221.0
sp|P52209|6PGD_HUMAN	sp|P53319|6PGD2_YEAST	64.155	491	0.0	651.0
sp|P52298|NCBP2_HUMAN	sp|Q08920|NCBP2_YEAST	62.832	113	1.25e-49	156.0
sp|P52434|RPAB3_HUMAN	sp|P20436|RPAB3_YEAST	35.065	154	4.8099999999999994e-23	86.7
sp|P52435|RPB11_HUMAN	sp|P38902|RPB11_YEAST	52.381	105	2.2900000000000002e-35	115.0
sp|P52565|GDIR1_HUMAN	sp|Q12434|GDIR_YEAST	37.949	195	8.99e-40	133.0
sp|P52655|TF2AA_HUMAN	sp|P32773|TOA1_YEAST	43.75	80	2.06e-12	65.1
sp|P52657|T2AG_HUMAN	sp|P32774|T2AG_YEAST	37.391	115	9.72e-25	88.6
sp|P52701|MSH6_HUMAN	sp|Q03834|MSH6_YEAST	33.05	1059	2.24e-161	516.0
sp|P52732|KIF11_HUMAN	sp|P28742|KIP1_YEAST	37.243	682	1.68e-114	379.0
sp|P52758|RIDA_HUMAN	sp|P40185|MMF1_YEAST	36.364	121	6.69e-25	90.9
sp|P52790|HXK3_HUMAN	sp|P04806|HXKA_YEAST	34.368	451	3.3500000000000003e-75	253.0
sp|P52815|RM12_HUMAN	sp|P53163|MNP1_YEAST	44.521	146	9.61e-21	83.6
sp|P52888|THOP1_HUMAN	sp|P25375|PRTD_YEAST	37.481	675	1.55e-143	434.0
sp|P52948|NUP98_HUMAN	sp|P49687|NU145_YEAST	28.198	688	6.24e-31	131.0
sp|P53007|TXTP_HUMAN	sp|P38152|TXTP_YEAST	38.966	290	3.2899999999999997e-68	213.0
sp|P53041|PPP5_HUMAN	sp|P53043|PPP5_YEAST	40.198	505	2.78e-125	373.0
sp|P53384|NUBP1_HUMAN	sp|P52920|NBP35_YEAST	54.485	301	7.769999999999999e-126	361.0
sp|P53582|MAP11_HUMAN	sp|Q01662|MAP1_YEAST	52.342	363	1.56e-132	383.0
sp|P53597|SUCA_HUMAN	sp|P53598|SUCA_YEAST	59.477	306	3.44e-123	355.0
sp|P53602|MVD1_HUMAN	sp|P32377|MVD1_YEAST	47.328	393	5.24e-111	329.0
sp|P53611|PGTB2_HUMAN	sp|P20133|PGTB2_YEAST	51.887	318	1.8699999999999998e-120	348.0
sp|P53618|COPB_HUMAN	sp|P41810|COPB_YEAST	43.093	970	0.0	775.0
sp|P53621|COPA_HUMAN	sp|P53622|COPA_YEAST	44.075	1232	0.0	1049.0
sp|P53680|AP2S1_HUMAN	sp|Q00381|AP2S_YEAST	48.966	145	1.18e-42	136.0
sp|P53701|CCHL_HUMAN	sp|P06182|CCHL_YEAST	37.383	214	1.05e-37	132.0
sp|P53803|RPAB4_HUMAN	sp|P40422|RPAB4_YEAST	44.898	49	3.38e-13	55.8
sp|P53990|IST1_HUMAN	sp|P53843|IST1_YEAST	36.364	176	3.24e-25	101.0
sp|P53999|TCP4_HUMAN	sp|P54000|SUB1_YEAST	47.297	74	3.07e-16	70.9
sp|P54098|DPOG1_HUMAN	sp|P15801|DPOG_YEAST	45.418	491	1.76e-127	421.0
sp|P54132|BLM_HUMAN	sp|P35187|SGS1_YEAST	39.82	555	5.6e-130	436.0
sp|P54198|HIRA_HUMAN	sp|P32479|HIR1_YEAST	32.593	405	1.68e-63	229.0
sp|P54278|PMS2_HUMAN	sp|P14242|PMS1_YEAST	42.135	356	3.44e-83	283.0
sp|P54577|SYYC_HUMAN	sp|P36421|SYYC_YEAST	56.374	353	1.9199999999999998e-140	409.0
sp|P54578|UBP14_HUMAN	sp|P43593|UBP6_YEAST	32.406	503	1.7200000000000002e-72	236.0
sp|P54646|AAPK2_HUMAN	sp|P06782|SNF1_YEAST	42.463	544	4.75e-139	414.0
sp|P54687|BCAT1_HUMAN	sp|P47176|BCA2_YEAST	49.577	355	1e-112	332.0
sp|P54727|RD23B_HUMAN	sp|P32628|RAD23_YEAST	30.425	447	3.4299999999999995e-42	150.0
sp|P54819|KAD2_HUMAN	sp|P07170|KAD2_YEAST	58.605	215	2.03e-92	269.0
sp|P54886|P5CS_HUMAN	sp|P54885|PROA_YEAST	41.538	455	1.0900000000000001e-100	317.0
sp|P55010|IF5_HUMAN	sp|P38431|IF5_YEAST	37.317	410	3.22e-81	254.0
sp|P55036|PSMD4_HUMAN	sp|P38886|RPN10_YEAST	49.153	236	2.1700000000000002e-66	209.0
sp|P55039|DRG2_HUMAN	sp|P53295|RBG2_YEAST	58.696	368	5.73e-155	438.0
sp|P55060|XPO2_HUMAN	sp|P33307|CSE1_YEAST	36.825	945	0.0	590.0
sp|P55072|TERA_HUMAN	sp|P25694|CDC48_YEAST	68.357	828	0.0	1178.0
sp|P55201|BRPF1_HUMAN	sp|Q12311|NTO1_YEAST	32.326	430	6.41e-68	242.0
sp|P55263|ADK_HUMAN	sp|P47143|ADK_YEAST	39.528	339	3.5800000000000004e-79	244.0
sp|P55265|DSRAD_HUMAN	sp|P53065|TAD1_YEAST	26.178	191	2.3e-09	58.9
sp|P55735|SEC13_HUMAN	sp|Q04491|SEC13_YEAST	50.649	308	1.5500000000000001e-99	293.0
sp|P55769|NH2L1_HUMAN	sp|P39990|SNU13_YEAST	71.311	122	2.64e-64	189.0
sp|P55786|PSA_HUMAN	sp|P37898|AAP1_YEAST	35.771	875	1.55e-173	524.0
sp|P55789|ALR_HUMAN	sp|P27882|ERV1_YEAST	47.706	109	2.88e-36	124.0
sp|P55884|EIF3B_HUMAN	sp|P06103|EIF3B_YEAST	31.756	655	9.35e-109	348.0
sp|P56192|SYMC_HUMAN	sp|P00958|SYMC_YEAST	51.394	574	0.0	634.0
sp|P56277|CMC4_HUMAN	sp|Q3E7A9|CMC4_YEAST	47.368	38	4.88e-08	43.1
sp|P56282|DPOE2_HUMAN	sp|P24482|DPB2_YEAST	26.953	512	4.06e-49	178.0
sp|P56377|AP1S2_HUMAN	sp|P35181|AP1S1_YEAST	54.0	150	1.1900000000000001e-56	172.0
sp|P56537|IF6_HUMAN	sp|Q12522|IF6_YEAST	72.245	245	1.2e-137	384.0
sp|P56589|PEX3_HUMAN	sp|P28795|PEX3_YEAST	23.899	159	2.3e-07	50.4
sp|P56937|DHB7_HUMAN	sp|Q12452|ERG27_YEAST	23.011	352	2.14e-17	80.1
sp|P57081|WDR4_HUMAN	sp|Q03774|TRM82_YEAST	29.046	241	2.4e-19	87.4
